,council_name,number,person_name
14627,平成11年 第4回定例会（第2日9月17日）,24,川口雅夫
14628,平成11年 第4回定例会（第2日9月17日）,25,源久忠仁
14629,平成11年 第4回定例会（第2日9月17日）,26,福井浩二
14630,平成11年 第4回定例会（第2日9月17日）,27,石橋守
14631,平成11年 第4回定例会（第2日9月17日）,28,根来勝利
14632,平成11年 第4回定例会（第2日9月17日）,29,大川肇
14633,平成11年 第4回定例会（第2日9月17日）,30,岡本嗣郎
14634,平成11年 第4回定例会（第2日9月17日）,31,高須賀嘉章
14635,平成11年 第4回定例会（第2日9月17日）,32,新家末吉
14636,平成11年 第4回定例会（第2日9月17日）,33,久保隆夫
14637,平成11年 第4回定例会（第2日9月17日）,34,段野啓三
14638,平成11年 第4回定例会（第2日9月17日）,36,鳥本高男
14639,平成11年 第4回定例会（第3日9月29日）,1,三本登
14640,平成11年 第4回定例会（第3日9月29日）,2,角芳春
14641,平成11年 第4回定例会（第3日9月29日）,3,小西弘泰
14642,平成11年 第4回定例会（第3日9月29日）,4,吉田康人
14643,平成11年 第4回定例会（第3日9月29日）,5,林啓二
14644,平成11年 第4回定例会（第3日9月29日）,6,中浜実
14645,平成11年 第4回定例会（第3日9月29日）,7,久保隆
14646,平成11年 第4回定例会（第3日9月29日）,8,安好一弘
14647,平成11年 第4回定例会（第3日9月29日）,9,中村玲子
14648,平成11年 第4回定例会（第3日9月29日）,10,橋本恵美子
14649,平成11年 第4回定例会（第3日9月29日）,11,市田忠夫
14650,平成11年 第4回定例会（第3日9月29日）,12,岩為俊
14651,平成11年 第4回定例会（第3日9月29日）,13,藤田頼夫
14652,平成11年 第4回定例会（第3日9月29日）,14,稲垣芳広
14653,平成11年 第4回定例会（第3日9月29日）,15,筒井俊雄
14654,平成11年 第4回定例会（第3日9月29日）,16,岡本茂
14655,平成11年 第4回定例会（第3日9月29日）,17,堀田和喜
14656,平成11年 第4回定例会（第3日9月29日）,18,松雪芳信
14657,平成11年 第4回定例会（第3日9月29日）,19,森清
14658,平成11年 第4回定例会（第3日9月29日）,20,二木洋子
14659,平成11年 第4回定例会（第3日9月29日）,21,池下節夫
14660,平成11年 第4回定例会（第3日9月29日）,22,須磨章
14661,平成11年 第4回定例会（第3日9月29日）,23,小野貞雄
14662,平成11年 第4回定例会（第3日9月29日）,24,川口雅夫
14663,平成11年 第4回定例会（第3日9月29日）,25,源久忠仁
14664,平成11年 第4回定例会（第3日9月29日）,26,福井浩二
14665,平成11年 第4回定例会（第3日9月29日）,27,石橋守
14666,平成11年 第4回定例会（第3日9月29日）,28,根来勝利
14667,平成11年 第4回定例会（第3日9月29日）,29,大川肇
14668,平成11年 第4回定例会（第3日9月29日）,30,岡本嗣郎
14669,平成11年 第4回定例会（第3日9月29日）,31,高須賀嘉章
14670,平成11年 第4回定例会（第3日9月29日）,32,新家末吉
14671,平成11年 第4回定例会（第3日9月29日）,33,久保隆夫
14672,平成11年 第4回定例会（第3日9月29日）,34,段野啓三
14673,平成11年 第4回定例会（第3日9月29日）,36,鳥本高男
14674,平成11年 第4回定例会（第4日9月30日）,1,三本登
14675,平成11年 第4回定例会（第4日9月30日）,2,角芳春
14676,平成11年 第4回定例会（第4日9月30日）,3,小西弘泰
14677,平成11年 第4回定例会（第4日9月30日）,4,吉田康人
14678,平成11年 第4回定例会（第4日9月30日）,5,林啓二
14679,平成11年 第4回定例会（第4日9月30日）,6,中浜実
14680,平成11年 第4回定例会（第4日9月30日）,7,久保隆
14681,平成11年 第4回定例会（第4日9月30日）,8,安好一弘
14682,平成11年 第4回定例会（第4日9月30日）,9,中村玲子
14683,平成11年 第4回定例会（第4日9月30日）,10,橋本恵美子
14684,平成11年 第4回定例会（第4日9月30日）,11,市田忠夫
14685,平成11年 第4回定例会（第4日9月30日）,12,岩為俊
14686,平成11年 第4回定例会（第4日9月30日）,13,藤田頼夫
14687,平成11年 第4回定例会（第4日9月30日）,14,稲垣芳広
14688,平成11年 第4回定例会（第4日9月30日）,15,筒井俊雄
14689,平成11年 第4回定例会（第4日9月30日）,16,岡本茂
14690,平成11年 第4回定例会（第4日9月30日）,17,堀田和喜
14691,平成11年 第4回定例会（第4日9月30日）,18,松雪芳信
14692,平成11年 第4回定例会（第4日9月30日）,19,森清
14693,平成11年 第4回定例会（第4日9月30日）,20,二木洋子
14694,平成11年 第4回定例会（第4日9月30日）,21,池下節夫
14695,平成11年 第4回定例会（第4日9月30日）,22,須磨章
14696,平成11年 第4回定例会（第4日9月30日）,23,小野貞雄
14697,平成11年 第4回定例会（第4日9月30日）,24,川口雅夫
14698,平成11年 第4回定例会（第4日9月30日）,25,源久忠仁
14699,平成11年 第4回定例会（第4日9月30日）,26,福井浩二
14700,平成11年 第4回定例会（第4日9月30日）,27,石橋守
14701,平成11年 第4回定例会（第4日9月30日）,28,根来勝利
14702,平成11年 第4回定例会（第4日9月30日）,29,大川肇
14703,平成11年 第4回定例会（第4日9月30日）,30,岡本嗣郎
14704,平成11年 第4回定例会（第4日9月30日）,31,高須賀嘉章
14705,平成11年 第4回定例会（第4日9月30日）,32,新家末吉
14706,平成11年 第4回定例会（第4日9月30日）,33,久保隆夫
14707,平成11年 第4回定例会（第4日9月30日）,34,段野啓三
14708,平成11年 第4回定例会（第4日9月30日）,36,鳥本高男
14709,平成11年 第5回定例会（第1日12月7日）,1,三本登
14710,平成11年 第5回定例会（第1日12月7日）,2,角芳春
14711,平成11年 第5回定例会（第1日12月7日）,3,小西弘泰
